session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
kplv6sud,19,vq068tas,3,survey,SzenarioOneOutcome,1699982398,1,0,0
kplv6sud,23,5xwkuqzk,3,survey,SzenarioOneOutcome,1699982399,1,0,0
kplv6sud,24,2t9ebfxv,1,survey,Landing,1699982400,1,0,0
kplv6sud,18,k4hqyptj,4,survey,SzenarioTwo,1699982401,1,0,0
kplv6sud,22,s4xyndva,3,survey,SzenarioOneOutcome,1699982404,1,0,0
kplv6sud,25,6oac9wdj,1,survey,Landing,1699982404,1,0,0
kplv6sud,28,nmdvzn2d,1,survey,Landing,1699982405,1,0,0
kplv6sud,17,cnbrsopd,5,survey,SzenarioTwoOutcome,1699982408,1,0,0
kplv6sud,19,vq068tas,4,survey,SzenarioTwo,1699982412,1,0,0
kplv6sud,27,85sdkyrh,2,survey,SzenarioOne,1699982415,1,0,0
kplv6sud,22,s4xyndva,4,survey,SzenarioTwo,1699982416,1,0,0
kplv6sud,24,2t9ebfxv,2,survey,SzenarioOne,1699982417,1,0,0
kplv6sud,12,05wd4boi,11,survey,Experience,1699982417,1,0,0
kplv6sud,12,05wd4boi,12,survey,Feedback,1699982419,1,0,0
kplv6sud,18,k4hqyptj,5,survey,SzenarioTwoOutcome,1699982423,1,0,0
kplv6sud,23,5xwkuqzk,4,survey,SzenarioTwo,1699982424,1,0,0
kplv6sud,15,6dh7v3q2,8,survey,SzenarioFour,1699982428,1,0,0
kplv6sud,27,85sdkyrh,3,survey,SzenarioOneOutcome,1699982430,1,0,0
kplv6sud,26,zi0l793u,2,survey,SzenarioOne,1699982430,1,0,0
kplv6sud,19,vq068tas,5,survey,SzenarioTwoOutcome,1699982432,1,0,0
kplv6sud,29,9fsmph5o,0,,InitializeParticipant,1699982439,1,0,0
kplv6sud,23,5xwkuqzk,5,survey,SzenarioTwoOutcome,1699982441,1,0,0
kplv6sud,18,k4hqyptj,6,survey,SzenarioThree,1699982444,1,0,0
kplv6sud,15,6dh7v3q2,9,survey,SzenarioFourOutcome,1699982445,1,0,0
kplv6sud,19,vq068tas,6,survey,SzenarioThree,1699982447,1,0,0
kplv6sud,30,566m1lbd,0,,InitializeParticipant,1699982447,1,0,0
kplv6sud,30,566m1lbd,1,survey,Landing,1699982451,1,0,0
kplv6sud,24,2t9ebfxv,3,survey,SzenarioOneOutcome,1699982453,1,0,0
kplv6sud,17,cnbrsopd,6,survey,SzenarioThree,1699982453,1,0,0
kplv6sud,27,85sdkyrh,4,survey,SzenarioTwo,1699982453,1,0,0
kplv6sud,28,nmdvzn2d,2,survey,SzenarioOne,1699982454,1,0,0
kplv6sud,18,k4hqyptj,7,survey,SzenarioThreeOutcome,1699982457,1,0,0
kplv6sud,23,5xwkuqzk,6,survey,SzenarioThree,1699982458,1,0,0
kplv6sud,25,6oac9wdj,2,survey,SzenarioOne,1699982461,1,0,0
kplv6sud,30,566m1lbd,2,survey,SzenarioOne,1699982466,1,0,0
kplv6sud,27,85sdkyrh,5,survey,SzenarioTwoOutcome,1699982468,1,0,0
kplv6sud,20,epsqtcg1,2,survey,SzenarioOne,1699982470,1,0,0
kplv6sud,31,mrruhl0n,0,,InitializeParticipant,1699982470,1,0,0
kplv6sud,16,oj1c34rw,2,survey,SzenarioOne,1699982472,1,0,0
kplv6sud,26,zi0l793u,3,survey,SzenarioOneOutcome,1699982475,1,0,0
kplv6sud,24,2t9ebfxv,4,survey,SzenarioTwo,1699982476,1,0,0
kplv6sud,19,vq068tas,7,survey,SzenarioThreeOutcome,1699982479,1,0,0
kplv6sud,18,k4hqyptj,8,survey,SzenarioFour,1699982481,1,0,0
kplv6sud,32,7rg28csa,0,,InitializeParticipant,1699982481,1,0,0
kplv6sud,17,cnbrsopd,7,survey,SzenarioThreeOutcome,1699982482,1,0,0
kplv6sud,33,mtlriakc,0,,InitializeParticipant,1699982485,1,0,0
kplv6sud,33,mtlriakc,1,survey,Landing,1699982489,1,0,0
kplv6sud,27,85sdkyrh,6,survey,SzenarioThree,1699982489,1,0,0
kplv6sud,19,vq068tas,8,survey,SzenarioFour,1699982494,1,0,0
kplv6sud,17,cnbrsopd,8,survey,SzenarioFour,1699982495,1,0,0
kplv6sud,24,2t9ebfxv,5,survey,SzenarioTwoOutcome,1699982495,1,0,0
