Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Management experience,Years of management experience,Number of subordinates,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6553adcda315ecadace1951f,638ce9c3931acfc969058613,AWAITING REVIEW,2023-11-14T17:26:49.566000Z,2023-11-14T17:41:24.035000Z,,2023-11-14T17:41:24.521221Z,875.0,C9B87HRO,1254,Yes,5+ years,>10,50,Male,Black,Ghana,United States,United States,English,Yes,Full-Time
6553add88a839e9253777651,63bf8a649931574320e98357,AWAITING REVIEW,2023-11-14T17:26:52.143000Z,2023-11-14T17:31:49.837000Z,,2023-11-14T17:31:50.461285Z,298.0,C9B87HRO,2324,Yes,5+ years,2-3,32,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6553adda1d5f2802a1c4cf6e,5f712c16875f0375275c57d5,AWAITING REVIEW,2023-11-14T17:26:55.083000Z,2023-11-14T17:31:23.371000Z,,2023-11-14T17:31:23.860650Z,269.0,C9B87HRO,2880,Yes,5+ years,>10,30,Male,White,United States,United States,United States,English,No,Full-Time
6553ade7af851aebe8fabd9a,641feb2494b8a1eb706ab8a5,AWAITING REVIEW,2023-11-14T17:32:25.201000Z,2023-11-14T17:45:45.866000Z,,2023-11-14T17:45:46.336865Z,801.0,C9B87HRO,1839,Yes,3 - 4 years,4-6,24,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6553adf29d65bb7828b57e71,5ded40791be52f3f9a03947c,AWAITING REVIEW,2023-11-14T17:27:18.662000Z,2023-11-14T17:32:12.937000Z,,2023-11-14T17:32:13.464781Z,295.0,C9B87HRO,195,Yes,1 - 2 years,4-6,33,Male,White,United States,United States,United States,English,No,Full-Time
6553adf38a7a027af6f794e5,5df81cd72713055bdf02efd8,AWAITING REVIEW,2023-11-14T17:32:43.312000Z,2023-11-14T17:43:17.646000Z,,2023-11-14T17:43:18.218212Z,635.0,C9B87HRO,2959,Yes,5+ years,7-10,46,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6553ae09c96de9b69cec9303,62a89318448a8592fc88ee03,AWAITING REVIEW,2023-11-14T17:27:41.700000Z,2023-11-14T17:33:51.213000Z,,2023-11-14T17:33:51.660553Z,370.0,C9B87HRO,2735,Yes,5+ years,2-3,41,Male,Black,United States,United States,United States,English,Yes,Full-Time
6553ae0f8c74beaa75b22cc6,5e39d872793a082024d9cf18,AWAITING REVIEW,2023-11-14T17:27:48.107000Z,2023-11-14T17:30:12.644000Z,,2023-11-14T17:30:13.172660Z,145.0,C9B87HRO,5646,Yes,5+ years,>10,42,Male,White,United States,United States,United States,English,Yes,Full-Time
6553ae1af2e62a521b49f773,642f5bc14c648f1b66b98b51,AWAITING REVIEW,2023-11-14T17:28:01.214000Z,2023-11-14T17:39:38.858000Z,,2023-11-14T17:39:39.412114Z,698.0,C9B87HRO,729,Yes,5+ years,>10,49,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6553ae2222fdf96e64ed049d,61001d9b2e3d8a75a09f3db3,AWAITING REVIEW,2023-11-14T17:28:11.591000Z,2023-11-14T17:34:59.935000Z,,2023-11-14T17:35:00.450739Z,409.0,C9B87HRO,2885,Yes,5+ years,>10,63,Male,White,United States,United States,United States,English,No,Full-Time
6553ae287311c6b6ed0d055b,5eb81d360943fe74d6aba62b,AWAITING REVIEW,2023-11-14T17:28:14.024000Z,2023-11-14T17:39:31.095000Z,,2023-11-14T17:39:32.173685Z,678.0,C9B87HRO,4356,Yes,2 - 3 years,2-3,38,Male,Mixed,United States,United States,United States,English,No,Full-Time
6553ae3887000051d287a80c,5e69d0627b06f2033bb0fda7,AWAITING REVIEW,2023-11-14T17:28:28.701000Z,2023-11-14T17:33:10.285000Z,,2023-11-14T17:33:11.014713Z,282.0,C9B87HRO,3727,Yes,2 - 3 years,7-10,27,Female,White,United States,United States,United States,English,No,Full-Time
6553ae3a85191a0effb3be0e,5bbafad7736db000016d8600,AWAITING REVIEW,2023-11-14T17:28:29.579000Z,2023-11-14T17:33:34.041000Z,,2023-11-14T17:33:34.634680Z,305.0,C9B87HRO,1615,Yes,5+ years,>10,29,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6553ae59ccdc23a90e34ef7e,5febd397ad8fbad21bcd6182,AWAITING REVIEW,2023-11-14T17:29:18.628000Z,2023-11-14T17:35:29.731000Z,,2023-11-14T17:35:30.109944Z,372.0,C9B87HRO,5283,Yes,5+ years,>10,33,Male,White,United States,United States,United States,English,Yes,Full-Time
6553ae5a874b24997f2d43bc,5d332957d0635b00013bd785,AWAITING REVIEW,2023-11-14T17:29:00.339000Z,2023-11-14T17:36:44.352000Z,,2023-11-14T17:36:44.812119Z,465.0,C9B87HRO,5272,Yes,5+ years,>10,28,Male,White,United States,United States,United States,English,No,Full-Time
6553ae6dd4a3b73a404adc1c,62911a82ead4bc61607aa7d8,AWAITING REVIEW,2023-11-14T17:29:31.805000Z,2023-11-14T17:40:10.117000Z,,2023-11-14T17:40:10.621409Z,639.0,C9B87HRO,3236,Yes,5+ years,>10,35,Male,White,United States,United States,United States,English,Yes,Full-Time
6553ae7ebec4082c706c7333,5e402dcd7b260d000a7b69fe,AWAITING REVIEW,2023-11-14T17:29:36.728000Z,2023-11-14T17:32:58.608000Z,,2023-11-14T17:32:59.073348Z,202.0,C9B87HRO,4074,Yes,5+ years,2-3,38,Female,White,United States,United States,United States,English,No,Full-Time
6553ae8170eab9545da4bf4a,5d9373b0e04970001ab482da,AWAITING REVIEW,2023-11-14T17:29:41.321000Z,2023-11-14T17:34:25.847000Z,,2023-11-14T17:34:26.290341Z,285.0,C9B87HRO,4531,Yes,5+ years,2-3,64,Female,White,United States,United States,United States,English,No,Full-Time
