Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Management experience,Years of management experience,Number of subordinates,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6555d25b3fe4267f518a9001,653289430f3817c58fd8492a,AWAITING REVIEW,2023-11-16T08:27:09.930000Z,2023-11-16T08:39:15.861000Z,,2023-11-16T08:39:16.411449Z,726.0,C1N2Y8X2,8,English,Yes,5+ years,4-6,36,Female,White,Germany,Germany,Germany,German,No,Full-Time
6555d9db7a3808239c637694,5d741e4db0b210001a7a737b,AWAITING REVIEW,2023-11-16T08:59:10.584000Z,2023-11-16T09:04:41.398000Z,,2023-11-16T09:04:42.352079Z,331.0,C1N2Y8X2,942,"English, German",Yes,5+ years,>10,39,Male,White,Germany,Germany,Germany,German,No,Full-Time
6555fdafbf9dbc87d148433b,60e46f97e4b4823d0204b822,AWAITING REVIEW,2023-11-16T11:32:02.502000Z,2023-11-16T11:37:11.876000Z,,2023-11-16T11:37:12.373421Z,310.0,C1N2Y8X2,72,"English, German",Yes,5+ years,7-10,36,Male,White,Germany,Germany,Germany,German,No,Full-Time
655601ac14367fcd6e46159b,64490baffa3fea7d34ac12fa,AWAITING REVIEW,2023-11-16T11:49:04.208000Z,2023-11-16T12:15:36.782000Z,,2023-11-16T12:15:37.314186Z,1593.0,C1N2Y8X2,246,"English, German, Farsi",Yes,2 - 3 years,2-3,29,Male,Asian,Germany,Germany,Germany,German,Yes,Part-Time
6556025a1f68e347b4ef8ada,6529bbac086dd362bc291ca2,AWAITING REVIEW,2023-11-16T11:51:59.162000Z,2023-11-16T12:00:00.440000Z,,2023-11-16T12:00:01.095331Z,482.0,C1N2Y8X2,8,"Bulgarian, English, German, Turkish",Yes,5+ years,2-3,37,Male,White,Bulgaria,Germany,Bulgaria,Turkish,No,Full-Time
65560cff4050e0890a7f0523,5de41671e3e0cc4129b5e3c1,AWAITING REVIEW,2023-11-16T12:37:24.720000Z,2023-11-16T12:42:55.245000Z,,2023-11-16T12:42:55.685452Z,331.0,C1N2Y8X2,830,"English, German",Yes,2 - 3 years,4-6,41,Male,White,Germany,Germany,Germany,German,No,Full-Time
65561214cd71964dad7664c3,646b532cb1e279870b4f4c84,AWAITING REVIEW,2023-11-16T13:08:57.599000Z,2023-11-16T13:32:45.565000Z,,2023-11-16T13:32:46.034966Z,1428.0,C1N2Y8X2,107,"English, German",Yes,1 - 2 years,4-6,30,Male,White,Germany,Germany,Germany,German,No,Full-Time
65561b8c487a6fd6f2a5ccab,6517283ed2294dbc8561979d,AWAITING REVIEW,2023-11-16T13:39:27.107000Z,2023-11-16T13:44:15.465000Z,,2023-11-16T13:44:16.070473Z,289.0,C1N2Y8X2,34,"German, English",Yes,2 - 3 years,2-3,36,Male,White,Germany,Germany,Germany,German,No,Full-Time
65562a28050a5e53287619fd,6444ff15765d8c93e91943e9,AWAITING REVIEW,2023-11-16T14:41:48.171000Z,2023-11-16T14:46:04.441000Z,,2023-11-16T14:46:04.877673Z,257.0,C1N2Y8X2,79,"English, German",Yes,3 - 4 years,4-6,28,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,Full-Time
65562ab96ebf186e803a9859,64005b335f4967ac4e424ea0,AWAITING REVIEW,2023-11-16T14:44:12.143000Z,2023-11-16T14:48:33.963000Z,,2023-11-16T14:48:34.573246Z,262.0,C1N2Y8X2,255,"German, English",Yes,2 - 3 years,>10,21,Male,White,Germany,Germany,Germany,German,Yes,Full-Time
6556312a9a69f9d0ae86b3e2,65255c15b7bc20e6655234fe,AWAITING REVIEW,2023-11-16T15:11:42.795000Z,2023-11-16T15:17:20.927000Z,,2023-11-16T15:17:21.441982Z,339.0,C1N2Y8X2,22,"English, Dutch, German, Polish, Spanish, Turkish, Other",Yes,1 - 2 years,2-3,28,Male,Other,Turkey,Germany,Turkey,English,No,Part-Time
6556314bee00ddef3cba29be,5fbe72941cf1d201bc50c1d4,AWAITING REVIEW,2023-11-16T15:12:18.535000Z,2023-11-16T15:19:07.626000Z,,2023-11-16T15:19:08.159093Z,410.0,C1N2Y8X2,1371,"English, German",Yes,1 - 2 years,4-6,36,Female,White,Germany,Germany,Germany,German,No,Part-Time
6553e17d4f5cc9be5b0f3427,5a74e93feea3d300016dd8ca,RETURNED,2023-11-14T21:07:09.796000Z,,,,,,1748,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6553e291a66b1b53ccef6ea7,654a64ee08c9d18eb17c7455,RETURNED,2023-11-14T21:11:50.804000Z,2023-11-14T21:17:55.067000Z,,2023-11-14T21:17:55.953000Z,,CGA1Y97A,7,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6553e42aab72853d7f09ba62,654e43ed2ef4c1bac3dfe00e,RETURNED,2023-11-14T21:18:44.921000Z,,,,,,5,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6553e518b1101baa33192722,6536973604f263f3c70495bf,RETURNED,2023-11-14T21:22:43.710000Z,,,,,,47,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6553e6daecd1cf7472be543e,6542154ea897aa5198b407bb,RETURNED,2023-11-14T21:30:33.900000Z,2023-11-14T21:36:06.637000Z,,2023-11-14T21:36:07.536000Z,,CGA1Y97A,6,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6553f6163ed1cfde9f0a67b5,5b9f72f400815d000103226b,RETURNED,2023-11-14T22:35:09.580000Z,,,,,,243,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65540078551bd38b3060012c,6553a5d912306991aa2adb8c,RETURNED,2023-11-14T23:19:24.824000Z,2023-11-14T23:23:40.321000Z,,2023-11-14T23:23:41.201000Z,,CGA1Y97A,8,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65548a68a268a1b0d7f75cf9,6506cdccfbfd0295e86b1fe6,RETURNED,2023-11-15T09:07:52.958000Z,,,,,,68,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6554cf0e3ac4b6a0ab00b266,616f1f088b0e6a0d02c805b0,TIMED-OUT,2023-11-15T14:00:46.604000Z,,,,104210.0,,402,"English, German, Spanish",Yes,5+ years,>10,47,Male,White,Germany,Germany,Germany,Spanish,No,Full-Time
